https,iframe,ip,length_hostname,length_url,nb_and,nb_at,nb_dots,nb_hyphens,nb_percent,nb_underscore,num_subdomains,popup_window,submit_email,label
0,0,0,6,101,2,0,2,0,0,0,0,0,0,1
1,0,0,19,41,0,0,3,0,0,0,1,0,0,0
1,0,0,35,43,0,0,4,0,0,0,3,0,0,1
1,0,0,8,15,0,0,1,0,0,0,0,0,0,0
1,0,0,10,42,0,0,3,3,0,0,1,0,0,0
1,0,0,15,51,0,0,1,3,0,0,0,0,0,0
1,0,0,27,48,0,0,3,3,0,0,1,0,0,1
1,0,0,19,49,0,0,1,0,0,1,0,0,0,0
0,0,0,13,25,0,0,1,1,0,0,0,0,0,1
0,0,0,15,49,0,0,2,2,0,0,1,0,0,0
1,0,0,25,48,0,0,3,1,0,0,1,0,0,0
1,0,0,25,108,0,1,4,1,1,0,1,0,0,1
1,0,0,20,39,0,0,2,0,0,0,0,0,0,1
1,0,0,20,80,0,0,4,3,0,0,2,0,0,0
1,0,0,17,36,0,0,2,1,0,0,1,0,0,0
0,0,0,19,28,0,0,2,1,0,0,1,0,0,0
0,0,0,14,33,0,0,2,0,0,0,1,0,0,1
0,0,0,14,23,0,0,3,0,0,0,2,0,0,0
0,0,0,18,77,0,0,2,5,0,0,1,0,0,0
0,0,1,19,342,5,1,5,6,8,0,2,0,0,1
0,0,0,29,38,0,0,2,1,0,0,1,0,0,1
1,0,0,22,73,0,0,2,5,0,0,1,0,0,0
0,0,0,15,33,0,0,2,0,0,0,1,0,0,0
1,0,0,17,67,0,0,3,1,0,1,1,0,0,1
0,0,0,18,39,0,0,2,0,0,0,1,0,0,0
0,0,0,15,24,0,0,2,0,0,0,1,0,0,0
0,0,0,17,26,0,0,2,0,0,0,1,0,0,0
0,0,0,7,39,0,0,2,0,0,0,0,0,0,0
1,0,1,22,62,0,0,3,1,0,0,2,0,0,1
1,0,0,13,41,0,0,2,1,0,0,0,0,0,1
0,0,0,31,40,0,0,2,0,0,0,1,0,0,1
1,0,0,26,51,0,0,3,2,0,0,1,0,0,0
0,0,0,12,59,0,0,2,3,0,0,1,0,0,0
0,0,0,20,50,0,0,3,0,0,0,1,0,0,0
1,0,0,25,52,0,0,2,1,0,0,1,0,0,1
1,0,0,15,43,0,0,2,1,0,0,0,0,0,1
1,0,0,42,94,0,0,3,4,0,0,1,0,0,1
1,0,0,15,60,0,0,4,0,0,0,1,0,0,0
1,0,0,11,18,0,0,1,0,0,0,0,0,0,0
0,0,0,27,204,0,0,2,1,0,3,1,0,0,1
0,0,1,24,94,0,1,7,0,0,0,2,0,0,1
1,0,0,33,41,0,0,4,1,0,0,3,0,0,1
1,0,0,11,19,0,0,2,0,0,0,1,0,0,1
1,0,0,22,35,0,0,2,1,0,0,0,0,0,1
1,0,0,26,63,0,0,3,0,0,0,0,0,0,1
1,0,0,21,53,0,0,2,0,0,0,1,0,0,1
1,0,0,44,75,0,0,4,3,0,0,3,0,0,1
0,0,0,27,35,0,0,2,0,0,0,1,0,0,1
0,0,0,14,210,10,0,4,1,6,0,1,0,0,1
0,0,0,13,44,0,0,1,2,0,0,0,0,0,0
1,0,1,40,150,0,0,5,0,0,0,3,0,0,1
1,0,0,22,39,0,0,3,1,0,0,1,0,0,1
1,0,0,15,64,0,0,2,1,0,0,1,0,0,1
0,0,1,20,106,0,0,4,4,0,0,2,0,0,1
0,0,0,20,34,0,0,2,0,0,0,1,0,0,1
0,0,0,16,65,0,0,2,0,0,5,1,0,0,0
1,0,0,14,60,0,0,3,1,0,0,1,0,0,1
1,0,0,14,25,0,0,1,0,0,0,0,0,0,1
1,0,0,21,39,0,0,2,0,0,0,1,0,0,0
1,0,0,15,38,0,0,3,1,0,0,1,0,0,0
0,0,0,8,129,0,0,2,1,0,7,0,0,0,1
0,0,0,15,52,0,0,2,2,0,0,1,0,0,0
1,0,1,14,30,0,0,3,0,0,0,2,0,0,1
0,0,0,24,33,0,0,2,0,0,0,1,0,0,0
1,0,1,27,118,0,0,3,6,0,0,1,0,0,0
1,0,0,20,27,0,0,1,1,0,0,0,0,0,0
1,0,0,16,78,0,0,3,0,0,3,1,0,0,0
1,0,0,27,35,0,0,2,1,0,0,1,0,0,1
1,0,0,18,32,0,0,1,1,0,0,0,0,0,1
1,0,0,39,64,0,0,5,3,0,0,3,0,0,1
0,0,0,29,38,0,0,2,1,0,0,1,0,0,1
0,0,0,15,24,0,0,3,0,0,0,2,0,0,0
1,0,0,15,68,0,0,3,0,0,0,1,0,0,0
0,0,1,50,126,2,0,4,1,0,2,3,0,0,1
0,0,0,16,41,0,0,2,0,0,1,1,0,0,0
0,0,0,16,48,0,0,2,0,0,2,1,0,0,0
1,0,0,21,29,0,0,2,0,0,0,1,0,0,0
0,0,0,15,24,0,0,2,0,0,0,1,0,0,0
0,0,0,17,50,0,0,3,0,0,2,1,1,0,0
1,0,1,50,126,2,0,4,1,0,2,3,0,0,1
0,0,0,11,39,0,0,2,0,0,0,1,0,0,0
1,0,1,15,102,0,0,1,1,0,0,0,0,0,1
1,0,0,23,31,0,0,2,0,0,0,1,0,0,0
1,0,1,22,86,0,0,3,1,1,0,2,0,0,1
0,0,0,16,78,0,0,2,4,0,0,1,0,0,0
0,0,0,20,29,0,0,3,0,0,0,2,0,0,0
1,0,1,12,33,0,0,2,0,0,0,1,0,0,0
1,0,0,12,27,0,0,1,1,0,0,0,0,0,1
0,0,0,15,24,0,0,2,0,0,0,1,0,0,0
0,0,0,20,39,0,0,2,0,0,0,1,0,0,0
1,0,0,21,28,0,0,2,1,0,0,1,0,0,0
1,0,1,24,102,0,0,3,0,0,0,1,0,0,1
1,0,0,18,43,0,0,2,0,0,1,1,0,0,0
1,0,0,19,27,0,0,2,0,0,0,1,0,0,0
1,0,0,17,101,0,0,2,9,0,0,1,0,0,0
1,0,0,28,60,0,0,3,3,0,0,1,0,0,0
1,0,0,13,38,0,0,3,0,0,0,1,0,0,0
0,0,0,10,19,0,0,1,0,0,0,0,0,0,1
0,0,0,15,137,0,0,3,0,34,1,1,0,0,0
1,0,1,179,263,1,0,14,1,2,2,12,0,0,1
0,0,0,6,22,0,0,1,0,0,0,0,0,0,1
1,0,0,21,89,1,0,3,0,0,1,0,0,0,1
0,0,0,19,28,0,0,2,0,0,0,1,0,0,0
1,0,0,26,49,0,0,3,0,0,0,1,0,0,0
0,0,0,36,45,0,0,4,2,0,0,3,0,0,1
1,0,0,22,30,0,0,2,0,0,0,1,0,0,1
1,0,0,10,54,0,0,2,1,0,0,0,0,0,1
1,0,0,22,29,0,0,2,0,0,0,1,0,0,0
1,0,0,16,86,0,1,3,1,0,0,0,0,0,1
1,0,0,18,26,0,0,2,0,0,0,1,0,0,1
0,0,1,20,83,0,0,2,0,0,5,1,0,0,0
0,0,0,28,49,0,0,2,1,0,0,0,0,0,1
1,0,1,12,33,0,0,2,0,0,0,1,0,0,0
1,0,0,18,40,0,0,2,0,0,0,1,0,0,0
1,0,0,18,56,0,0,2,3,0,0,1,0,0,0
0,0,0,18,27,0,0,2,0,0,0,1,0,0,0
1,0,0,33,70,0,0,3,4,0,0,1,0,0,0
1,0,0,120,128,0,0,10,0,0,0,9,0,0,1
1,0,0,6,25,0,0,1,0,0,0,0,0,0,1
0,0,0,16,33,0,0,2,0,0,0,1,0,0,0
0,0,0,16,52,0,0,2,1,0,0,1,0,0,0
0,0,0,22,31,0,0,2,0,0,0,1,0,0,0
0,0,0,32,41,0,0,2,0,0,0,1,0,0,1
0,0,0,24,33,0,0,2,0,0,0,1,0,0,0
0,0,0,23,32,0,0,1,1,0,0,0,0,0,1
1,0,0,30,66,0,0,3,1,0,0,1,0,0,0
0,0,0,14,85,0,0,2,7,0,0,1,0,0,0
0,0,0,20,52,0,0,2,0,0,1,1,0,0,0
0,0,0,19,109,0,0,3,8,0,0,1,0,0,0
1,0,0,20,84,0,0,1,6,0,0,0,0,0,0
0,0,0,16,110,0,0,2,1,0,0,1,0,0,1
1,0,1,25,171,2,0,2,1,0,0,0,0,0,1
1,0,0,9,17,0,0,1,0,0,0,0,0,0,0
1,0,0,12,19,0,0,1,0,0,0,0,0,0,0
1,0,1,14,98,0,0,4,0,0,1,2,0,0,1
1,0,0,24,32,0,0,2,0,0,0,1,0,0,1
0,0,0,20,28,0,0,3,0,0,0,2,0,0,0
1,0,0,31,64,0,0,3,0,0,0,1,0,0,1
0,0,0,16,40,0,0,2,0,0,0,1,0,0,0
0,0,0,32,132,0,0,2,1,0,2,1,0,0,1
0,0,0,24,124,0,0,2,2,0,4,1,0,0,1
1,0,0,18,51,0,0,2,0,0,0,0,0,0,1
0,0,1,48,141,0,0,2,0,0,0,1,0,0,1
1,0,1,50,126,2,0,4,1,0,2,3,0,0,1
1,0,0,14,21,0,0,2,0,0,0,1,0,0,0
1,0,0,14,53,0,0,2,0,0,2,1,0,0,0
0,0,0,18,27,0,0,2,0,0,0,1,0,0,0
1,0,1,14,76,0,0,2,0,0,0,0,0,0,1
1,0,0,32,79,0,0,2,6,0,0,1,0,0,0
1,0,1,23,77,0,0,1,0,0,0,0,0,0,1
0,0,0,18,35,0,0,2,0,0,0,1,0,0,0
0,0,0,21,56,0,0,3,2,0,0,1,0,0,0
1,0,0,22,49,0,0,3,0,0,0,1,0,0,0
1,0,0,20,41,0,0,2,0,0,0,1,0,0,0
1,0,1,20,84,0,0,2,0,2,0,1,0,0,1
0,0,0,20,29,0,0,2,0,0,0,1,0,0,0
0,0,0,12,21,0,0,2,0,0,0,1,0,0,0
1,0,0,13,35,0,0,3,0,0,1,1,0,0,0
0,0,0,19,28,0,0,2,2,0,0,1,0,0,0
0,0,0,25,97,0,1,5,0,0,0,2,0,0,1
1,0,0,14,36,0,0,1,0,0,0,0,0,0,1
0,0,0,19,63,0,0,3,2,0,0,1,0,0,0
1,0,0,17,24,0,0,2,0,0,0,1,0,0,0
1,0,0,33,40,0,0,2,0,0,0,1,0,0,1
1,0,0,17,85,0,0,2,1,0,0,0,0,0,1
1,0,0,39,56,0,0,5,2,0,0,3,0,0,1
1,0,0,11,49,0,0,2,0,0,0,0,0,0,1
0,0,0,10,23,0,0,1,0,0,0,0,0,0,1
0,0,0,16,64,0,0,2,1,0,0,0,0,0,1
0,0,0,20,46,0,0,3,1,0,0,1,0,0,1
1,0,0,9,36,0,0,2,0,0,0,0,0,0,1
1,0,0,22,29,0,0,2,0,0,0,1,0,0,0
1,0,0,28,55,0,0,2,1,0,0,1,0,0,1
1,0,0,25,45,0,0,2,0,0,0,1,0,0,0
1,0,0,25,33,0,0,2,0,0,0,1,0,0,0
0,0,1,23,231,2,0,3,1,0,1,1,0,0,1
0,0,0,17,30,0,0,2,0,0,0,1,0,0,1
1,0,0,23,31,0,0,2,0,0,0,1,0,0,0
0,0,0,18,27,0,0,2,1,0,0,1,0,0,0
1,0,1,27,81,0,0,2,0,0,0,1,0,0,1
0,0,1,16,58,0,0,2,4,0,0,1,0,0,0
0,0,0,19,28,0,0,2,0,0,0,1,0,0,0
0,0,0,16,25,0,0,2,0,0,0,1,0,0,0
1,0,0,13,87,0,0,5,0,0,0,0,0,0,1
0,0,0,19,28,0,0,2,0,0,0,1,0,0,0
0,0,0,13,133,0,0,2,12,0,0,1,0,0,0
0,0,0,17,26,0,0,3,0,0,0,2,0,0,0
1,0,0,15,36,0,0,1,0,0,0,0,0,0,1
0,0,0,15,29,0,0,1,0,0,0,0,0,0,1
0,0,0,28,37,0,0,2,1,0,0,1,0,0,1
0,0,0,24,33,0,0,2,0,0,0,1,0,0,0
1,0,0,15,47,0,0,2,4,0,0,1,0,0,0
0,0,0,17,26,0,0,2,0,0,0,1,0,0,0
1,0,0,22,93,0,1,5,1,1,0,1,0,0,1
1,0,0,27,44,0,0,4,0,0,0,3,0,0,0
1,0,0,26,34,0,0,2,0,0,0,1,0,0,1
1,0,0,22,63,0,0,2,5,0,0,1,0,0,0
0,0,0,36,56,0,0,5,2,0,0,3,0,0,1
0,0,0,20,28,0,0,2,0,0,0,1,0,0,1
1,0,0,21,51,0,0,3,4,0,0,1,0,0,0
1,0,0,16,50,0,0,3,0,0,0,0,0,0,1
1,0,0,17,70,0,0,3,1,0,0,1,0,0,0
1,0,0,12,41,0,0,2,0,0,1,1,0,0,0
1,0,1,17,74,0,0,2,4,0,0,1,0,0,0
0,0,0,17,26,0,0,2,0,0,0,1,0,0,0
0,0,0,19,114,0,0,3,10,0,0,1,0,0,0
1,0,0,26,49,0,0,1,1,0,0,0,0,0,1
0,0,0,17,26,0,0,2,0,0,0,1,0,0,0
0,0,0,14,42,0,0,2,1,0,0,1,0,0,0
0,0,0,19,28,0,0,1,0,0,0,0,0,0,0
0,0,0,20,29,0,0,2,0,0,0,1,0,0,0
1,0,0,15,32,0,0,2,0,0,0,1,0,0,0
0,0,0,25,34,0,0,2,1,0,0,1,0,0,1
1,0,0,27,51,0,0,2,1,0,0,1,0,0,1
0,0,0,17,78,0,0,2,7,0,0,1,0,0,0
1,0,0,29,43,0,0,4,0,0,0,3,0,0,1
0,0,0,28,154,1,0,2,1,0,3,1,0,0,1
0,0,0,26,35,0,0,3,0,0,0,2,0,0,0
1,0,0,22,54,0,0,3,1,0,0,1,0,0,0
1,0,0,27,35,0,0,2,0,0,0,1,0,0,0
0,0,0,16,25,0,0,1,0,0,0,0,0,0,0
1,0,0,19,27,0,0,2,0,0,0,1,0,0,0
1,0,1,12,61,0,0,4,0,0,0,2,0,0,1
1,0,0,30,41,0,0,2,0,0,0,1,0,0,1
1,0,0,13,47,0,0,2,0,0,0,0,0,0,1
1,0,0,11,19,0,0,2,0,0,0,1,0,0,0
0,0,0,18,38,0,0,2,1,0,0,1,0,0,0
1,0,0,19,64,0,0,3,3,0,0,1,0,0,0
1,0,1,20,271,2,0,5,0,0,1,1,0,0,1
1,0,0,10,50,0,0,1,0,0,0,0,0,0,1
0,0,1,23,80,0,0,3,6,0,0,1,0,0,0
0,0,0,28,67,0,0,2,0,0,0,0,0,0,1
0,0,1,30,282,3,0,3,1,7,4,1,0,0,1
0,0,0,37,144,0,0,2,2,0,3,1,0,0,1
1,0,0,20,52,0,0,1,1,0,0,0,0,0,1
0,0,0,19,28,0,0,2,0,0,0,1,0,0,0
0,0,0,20,50,0,0,3,0,0,0,1,0,0,0
1,0,0,19,60,1,0,3,1,0,0,1,0,0,0
0,0,0,18,87,0,0,2,4,0,0,1,0,0,0
1,0,0,18,35,0,0,3,0,0,0,1,0,0,1
1,0,1,15,102,0,0,4,0,0,0,2,0,0,1
0,0,0,23,63,0,0,2,0,0,0,1,0,0,0
0,0,0,27,36,0,0,2,1,0,0,1,0,0,1
0,0,0,12,21,0,0,2,0,0,0,1,0,0,0
0,0,1,17,238,3,0,3,8,11,1,1,0,0,1
1,0,1,13,36,0,0,4,0,0,0,2,0,0,1
0,0,0,29,38,0,0,2,0,0,0,1,0,0,0
1,0,1,14,88,0,0,5,2,0,0,2,0,0,1
1,0,0,21,29,0,0,2,0,0,0,1,0,0,1
1,0,0,17,27,0,0,2,0,0,0,1,0,0,1
0,0,0,15,101,0,0,2,1,0,0,1,0,0,1
1,0,0,11,18,0,0,2,0,0,0,1,0,0,0
1,0,0,15,27,0,0,2,0,0,0,1,0,0,1
0,0,0,15,28,0,0,2,0,0,0,1,0,0,0
1,0,0,14,36,0,0,1,1,0,0,0,0,0,1
1,0,0,14,53,0,0,2,0,0,2,1,0,0,0
1,0,1,13,66,0,0,3,1,0,0,1,0,0,1
0,0,0,26,35,0,0,2,0,0,0,1,0,0,1
0,0,0,13,27,0,0,1,0,0,0,0,0,0,1
1,0,1,13,21,0,0,3,0,0,0,2,0,0,1
1,0,0,19,123,0,0,2,15,0,0,1,1,0,0
1,0,0,18,47,0,0,4,0,0,0,2,0,0,0
0,0,0,15,59,0,0,3,3,0,0,1,0,0,0
1,0,0,4,15,0,0,1,0,0,0,0,0,0,1
1,0,0,18,26,0,0,2,0,0,0,1,0,0,0
0,0,0,36,82,0,0,5,3,0,0,3,0,0,1
0,0,0,16,77,0,0,2,0,0,3,1,0,0,0
0,0,0,13,38,0,0,3,0,0,0,1,0,0,1
1,0,0,32,39,0,0,2,0,0,0,1,0,0,1
0,0,0,15,42,0,0,2,0,0,0,1,0,0,0
0,0,0,19,33,0,0,2,0,0,0,1,0,0,0
1,0,0,36,53,0,0,2,3,0,0,1,0,0,1
1,0,0,16,44,0,0,3,1,0,0,1,0,0,0
1,0,0,15,23,0,0,2,0,0,0,1,0,0,0
1,0,0,10,17,0,0,1,0,0,0,0,0,0,0
1,0,0,18,26,0,0,2,0,0,0,1,0,0,0
1,0,1,54,129,2,0,5,1,0,2,4,0,0,1
1,0,0,34,42,0,0,2,2,0,0,1,0,0,1
1,0,0,19,52,0,0,2,0,1,0,1,0,0,0
1,0,0,19,27,0,0,2,0,0,0,1,0,0,0
1,0,0,14,43,0,0,3,0,0,0,1,0,0,0
1,0,0,20,28,0,0,2,1,0,0,1,0,0,0
0,0,0,21,97,0,0,3,1,2,0,1,0,0,0
1,0,0,20,28,0,0,2,0,0,0,1,0,0,1
1,0,0,19,27,0,0,2,0,0,0,1,0,0,0
1,0,0,19,35,0,0,3,0,0,0,1,0,0,1
0,0,0,19,62,0,0,2,2,0,0,1,0,0,0
0,0,1,50,127,2,0,4,1,0,2,3,0,0,1
1,0,0,22,29,0,0,2,0,0,0,1,0,0,1
1,0,0,16,33,0,0,2,0,0,0,1,0,0,1
1,0,0,17,72,1,0,3,1,0,0,1,0,0,0
0,0,0,25,33,0,0,2,0,0,0,1,0,0,0
1,0,0,18,40,0,0,2,0,0,0,1,0,0,0
1,0,0,42,61,0,0,5,2,0,0,3,0,0,1
1,0,0,32,51,0,0,2,0,0,0,1,0,0,0
0,0,0,10,44,0,0,1,3,0,0,0,0,0,0
1,0,0,12,259,0,0,2,1,0,0,1,0,0,1
1,0,0,21,57,0,0,2,0,0,0,1,0,0,1
0,0,0,22,31,0,0,2,0,0,0,1,0,0,0
1,0,0,15,47,0,0,3,0,0,0,1,0,0,1
1,0,0,26,93,0,0,3,6,0,0,1,0,0,0
1,0,0,18,49,0,0,2,1,0,0,1,0,0,0
0,0,0,13,22,0,0,2,0,0,0,1,0,0,0
0,0,0,21,45,0,0,2,0,0,0,1,0,0,0
0,0,0,29,105,0,0,2,1,0,0,1,0,0,1
0,0,0,21,109,0,1,4,0,0,0,1,0,0,1
1,0,0,33,40,0,0,2,0,0,0,1,0,0,0
1,0,0,5,24,0,0,1,0,0,0,0,0,0,1
1,0,0,17,37,0,0,2,0,0,0,1,0,0,1
0,0,0,13,152,0,0,2,20,0,0,1,0,0,0
0,0,1,46,124,2,0,5,0,0,2,4,0,0,1
1,0,0,15,35,0,0,2,0,0,0,1,0,0,1
1,0,1,50,126,2,0,4,1,0,2,3,0,0,1
1,0,0,24,51,0,0,3,1,0,0,1,0,0,0
1,0,1,61,126,0,0,3,4,0,2,1,0,0,1
1,0,0,25,49,0,0,2,0,0,0,1,0,0,0
0,0,0,17,46,0,0,2,1,0,0,1,0,0,0
0,0,0,16,31,0,0,2,0,0,0,1,0,0,0
1,0,0,15,45,0,0,2,0,0,2,1,0,0,0
0,0,0,27,36,0,0,2,0,0,0,1,0,0,0
1,0,0,29,56,0,0,2,0,0,2,1,0,0,0
